时间,外环频率,内环频率,遥控滚转,遥控俯仰,遥控偏航,遥控x,遥控y,遥控z,姿态x,姿态y,姿态z,q0,q1,q2,q3,外环输出x,外环输出y,外环输出z,力x,力y,力z,力矩x,力矩y,力矩z,--,电机1,电机2,电机3,电机4,电机5,电机6,电机7,电机8
1488282545322,42.50HZ ,212.50HZ ,-1.00,0.00,-1.00,0.00,0.00,0.00,1.01,-0.81,8.53,1.00,0.01,-0.01,0.08,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,-0.01,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488282545607,1.59HZ ,7.95HZ ,0.00,0.00,0.00,0.00,0.00,0.00,0.28,1.84,29.92,0.97,-0.00,0.02,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,-0.21,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488282545911,42.93HZ ,214.66HZ ,0.00,0.00,0.00,0.00,0.00,0.00,0.75,2.09,36.13,0.96,-0.00,0.02,0.29,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.00,-0.21,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488282546181,42.94HZ ,214.69HZ ,0.00,0.00,0.00,0.00,0.00,0.00,1.10,2.11,43.17,0.94,0.00,0.02,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,-0.23,,1476,1490,1490,1476,1481,1470,1490,1476,endOfFrame
1488282546463,42.98HZ ,214.88HZ ,0.00,0.00,0.00,0.00,0.00,0.00,1.18,1.57,51.30,0.91,0.00,0.02,0.42,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.03,-0.30,,1451,1512,1510,1476,1481,1469,1467,1500,endOfFrame
1488282546741,42.94HZ ,214.69HZ ,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.75,56.89,0.88,0.00,0.01,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,-0.07,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488282547044,42.78HZ ,213.89HZ ,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.41,58.10,0.87,0.00,0.01,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.01,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488282547313,42.36HZ ,211.81HZ ,0.00,0.00,0.00,-1.00,0.00,0.00,0.55,0.15,57.73,0.88,0.00,0.00,0.48,0.00,0.00,0.00,-0.53,0.85,-0.01,-0.01,-0.00,0.03,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488282547596,41.97HZ ,209.85HZ ,0.00,0.00,0.00,-1.00,0.00,0.00,1.27,0.38,56.97,0.88,0.01,0.01,0.48,0.00,0.00,0.00,-0.55,0.84,-0.02,0.01,0.15,0.04,,1476,1490,1490,1476,1449,1490,1510,1501,endOfFrame
1488282547891,42.07HZ ,210.33HZ ,0.00,0.00,0.00,-1.00,0.00,0.00,1.33,1.23,56.54,0.88,0.01,0.01,0.47,0.00,0.00,0.00,-0.55,0.83,-0.03,-0.04,-0.00,0.05,,1476,1490,1470,1476,1461,1490,1490,1476,endOfFrame
1488282548179,42.06HZ ,210.32HZ ,-4.00,0.00,0.00,-1.00,0.00,0.00,1.90,1.53,56.69,0.88,0.01,0.02,0.47,0.00,0.00,0.00,-0.55,0.83,-0.04,0.04,-0.04,-0.00,,1476,1490,1490,1455,1481,1490,1490,1476,endOfFrame
1488282548472,42.06HZ ,210.29HZ ,0.00,0.00,0.00,-1.00,0.00,0.00,1.52,2.22,57.58,0.88,0.00,0.02,0.48,0.00,0.00,0.00,-0.54,0.84,-0.04,0.00,0.03,-0.04,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488282548748,42.02HZ ,210.09HZ ,0.00,0.00,0.00,-1.00,0.00,0.00,0.80,2.41,58.52,0.87,-0.00,0.02,0.49,0.00,0.00,0.00,-0.52,0.85,-0.03,0.00,-0.01,-0.01,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488282549049,41.92HZ ,209.60HZ ,0.00,0.00,0.00,-1.00,0.00,0.00,0.52,2.44,58.54,0.87,-0.01,0.02,0.49,0.00,0.00,0.00,-0.52,0.85,-0.03,0.01,0.01,0.01,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488282549330,41.96HZ ,209.82HZ ,0.00,0.00,0.00,-1.00,0.00,0.00,0.31,2.08,58.51,0.87,-0.01,0.02,0.49,0.00,0.00,0.00,-0.52,0.85,-0.02,0.04,0.04,0.06,,1476,1490,1490,1476,1459,1490,1512,1476,endOfFrame
1488282549624,42.01HZ ,210.05HZ ,0.00,0.00,0.00,-1.00,0.00,0.00,0.58,1.45,58.79,0.87,-0.00,0.01,0.49,0.00,0.00,0.00,-0.52,0.85,-0.02,-0.02,0.05,-0.03,,1476,1490,1490,1476,1481,1490,1490,1496,endOfFrame
1488282549951,41.94HZ ,209.70HZ ,0.00,0.00,0.00,-1.00,0.00,0.00,1.07,1.10,59.53,0.87,0.00,0.01,0.50,0.00,0.00,0.00,-0.51,0.86,-0.03,-0.05,0.04,-0.02,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488282550189,42.03HZ ,210.16HZ ,0.00,0.00,0.00,-1.00,0.00,0.00,1.67,0.29,60.60,0.87,0.01,0.01,0.50,0.00,0.00,0.00,-0.50,0.87,-0.03,-0.02,0.00,-0.06,,1476,1510,1490,1476,1481,1490,1490,1476,endOfFrame
1488282550482,42.19HZ ,210.97HZ ,0.00,0.00,0.00,-1.00,0.00,0.00,3.35,-1.94,70.61,0.85,0.02,0.01,0.53,0.00,0.00,0.00,-0.44,0.90,-0.03,0.10,-0.01,-0.78,,1435,1552,1542,1402,1528,1409,1457,1540,endOfFrame
1488282550783,42.02HZ ,210.10HZ ,-1.00,0.00,0.00,-1.00,-1.00,0.00,-2.37,-0.43,83.56,0.74,-0.02,-0.02,0.67,0.00,0.00,0.00,-1.09,0.90,0.05,-0.05,0.25,0.20,,1476,1490,1464,1476,1416,1490,1517,1512,endOfFrame
1488282551063,41.88HZ ,209.40HZ ,-1.00,0.00,0.00,-1.00,0.00,0.00,2.04,0.98,71.55,0.80,0.01,0.01,0.60,0.00,0.00,0.00,-0.27,0.96,-0.03,-0.03,-0.09,0.35,,1519,1490,1442,1476,1453,1490,1526,1451,endOfFrame
1488282551352,41.92HZ ,209.61HZ ,-1.00,0.00,-1.00,-1.00,0.00,0.00,3.96,1.04,66.53,0.83,0.02,0.02,0.55,0.00,0.00,0.00,-0.39,0.92,-0.05,-0.19,-0.07,0.03,,1476,1523,1452,1476,1481,1490,1490,1476,endOfFrame
1488282551644,41.80HZ ,209.00HZ ,-1.00,0.00,-1.00,-1.00,0.00,0.00,3.97,2.35,67.07,0.83,0.02,0.04,0.55,0.00,0.00,0.00,-0.39,0.92,-0.09,0.06,0.08,0.00,,1476,1490,1490,1476,1461,1468,1514,1476,endOfFrame
1488282551919,41.84HZ ,209.20HZ ,0.00,0.00,-1.00,-1.00,0.00,0.00,4.51,1.47,66.94,0.83,0.03,0.03,0.55,0.00,0.00,0.00,-0.39,0.92,-0.09,0.14,-0.04,0.00,,1476,1490,1490,1455,1481,1463,1518,1476,endOfFrame
