时间,外环频率,内环频率,遥控滚转,遥控俯仰,遥控偏航,遥控x,遥控y,遥控z,姿态x,姿态y,姿态z,q0,q1,q2,q3,外环输出x,外环输出y,外环输出z,力x,力y,力z,力矩x,力矩y,力矩z,--,电机1,电机2,电机3,电机4,电机5,电机6,电机7,电机8
1488275145581,42.10HZ ,210.52HZ ,0.00,-1.00,0.00,0.00,-1.00,0.00,0.48,-0.40,6.06,1.00,0.00,-0.00,0.05,0.00,0.00,0.00,-0.11,-0.99,0.01,0.00,0.00,0.00,,1476,1470,1490,1476,1481,1490,1490,1476,endOfFrame
1488275145852,0.42HZ ,2.11HZ ,0.00,0.00,0.00,0.00,0.00,0.00,1.24,-0.64,1.34,1.00,0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.01,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488275146160,42.79HZ ,213.96HZ ,-1.00,0.00,0.00,0.00,0.00,0.00,1.21,-0.58,1.37,1.00,0.01,-0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488275146449,42.65HZ ,213.25HZ ,-1.00,0.00,0.00,0.00,0.00,0.00,1.20,-0.66,1.33,1.00,0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.00,0.09,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488275146727,41.79HZ ,208.95HZ ,0.00,-1.00,0.00,0.00,-1.00,0.00,1.20,-0.66,1.37,1.00,0.01,-0.01,0.01,0.00,0.00,0.00,-0.02,-1.00,0.02,-0.01,-0.02,0.00,,1476,1490,1490,1476,1481,1490,1470,1476,endOfFrame
1488275147029,41.71HZ ,208.53HZ ,0.00,-1.00,0.00,0.00,-1.00,0.00,1.17,-0.72,1.35,1.00,0.01,-0.01,0.01,0.00,0.00,0.00,-0.02,-1.00,0.02,-0.07,-0.03,-0.01,,1476,1490,1490,1476,1481,1515,1462,1476,endOfFrame
1488275147319,41.67HZ ,208.34HZ ,0.00,-1.00,0.00,0.00,-1.00,0.00,1.03,-0.75,1.34,1.00,0.01,-0.01,0.01,0.00,0.00,0.00,-0.02,-1.00,0.02,-0.01,0.01,0.00,,1476,1490,1490,1476,1481,1490,1470,1476,endOfFrame
1488275147609,41.65HZ ,208.26HZ ,0.00,0.00,-1.00,0.00,-1.00,0.00,1.08,-0.82,1.38,1.00,0.01,-0.01,0.01,0.00,0.00,0.00,-0.02,-1.00,0.02,-0.03,-0.00,-0.02,,1476,1490,1490,1476,1481,1510,1466,1476,endOfFrame
1488275147902,41.60HZ ,208.02HZ ,0.00,0.00,-1.00,0.00,-1.00,0.00,1.06,-0.93,1.35,1.00,0.01,-0.01,0.01,0.00,0.00,0.00,-0.02,-1.00,0.02,-0.01,-0.01,-0.03,,1476,1490,1490,1476,1481,1490,1468,1476,endOfFrame
1488275148180,42.01HZ ,210.06HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,1.07,-0.92,1.44,1.00,0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.01,0.01,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488275148459,42.63HZ ,213.13HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,1.11,-0.91,1.41,1.00,0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.00,0.01,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488275148762,42.64HZ ,213.18HZ ,0.00,0.00,-1.00,0.00,-1.00,0.00,1.10,-0.95,1.37,1.00,0.01,-0.01,0.01,0.00,0.00,0.00,-0.02,-1.00,0.02,0.01,0.00,0.00,,1476,1470,1490,1476,1481,1490,1490,1476,endOfFrame
1488275149031,42.44HZ ,212.19HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,1.10,-0.93,1.39,1.00,0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488275149303,42.72HZ ,213.59HZ ,0.00,0.00,-1.00,0.00,0.00,0.00,1.13,-0.87,1.51,1.00,0.01,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.00,-0.00,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
