时间,外环频率,内环频率,遥控滚转,遥控俯仰,遥控偏航,遥控x,遥控y,遥控z,姿态x,姿态y,姿态z,q0,q1,q2,q3,外环输出x,外环输出y,外环输出z,力x,力y,力z,力矩x,力矩y,力矩z,--,电机1,电机2,电机3,电机4,电机5,电机6,电机7,电机8
1488276728213,42.06HZ ,210.30HZ ,0.00,0.00,0.00,0.00,-1.00,0.00,1.75,0.16,33.43,0.95,0.01,0.01,0.31,0.00,0.00,0.00,-0.60,-0.80,0.01,-0.24,0.15,1.91,,1601,1353,1347,1630,1312,1667,1591,1365,endOfFrame
1488276728401,1.14HZ ,5.71HZ ,-1.00,0.00,0.00,0.00,0.00,0.00,-0.20,-0.50,-16.00,0.99,-0.00,-0.01,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,-0.40,,1447,1514,1523,1446,1510,1456,1465,1504,endOfFrame
1488276728689,42.64HZ ,213.22HZ ,-1.00,0.00,0.00,0.00,0.00,0.00,-0.16,-0.52,-15.70,0.99,-0.00,-0.01,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,-0.04,-0.07,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276728908,42.67HZ ,213.37HZ ,-1.00,0.00,0.00,0.00,0.00,0.00,0.07,-0.09,-15.23,0.99,-0.00,-0.00,-0.13,0.00,0.00,0.00,0.00,0.00,0.00,-0.07,-0.06,-0.02,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276729182,42.21HZ ,211.04HZ ,-1.00,0.00,0.00,0.00,-1.00,0.00,0.91,-0.08,-15.78,0.99,0.01,-0.00,-0.14,0.00,0.00,0.00,0.27,-0.96,0.02,0.14,-0.16,-0.24,,1476,1490,1532,1448,1528,1490,1465,1476,endOfFrame
1488276729466,41.91HZ ,209.57HZ ,-1.00,0.00,0.00,0.00,-1.00,0.00,0.38,-0.32,-16.04,0.99,0.00,-0.00,-0.14,0.00,0.00,0.00,0.28,-0.96,0.01,0.47,-0.12,0.16,,1502,1418,1538,1476,1503,1490,1528,1430,endOfFrame
1488276729752,42.00HZ ,210.01HZ ,-1.00,0.00,0.00,0.00,-1.00,0.00,0.33,-0.49,-15.71,0.99,0.00,-0.00,-0.14,0.00,0.00,0.00,0.27,-0.96,0.00,-0.22,-0.04,-0.12,,1455,1490,1490,1476,1481,1520,1440,1476,endOfFrame
1488276730029,42.49HZ ,212.47HZ ,-1.00,0.00,0.00,0.00,0.00,0.00,0.23,-0.60,-15.83,0.99,0.00,-0.00,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.07,-0.26,,1451,1490,1515,1476,1481,1464,1490,1500,endOfFrame
1488276730318,42.84HZ ,214.18HZ ,-1.00,0.00,0.00,0.00,0.00,0.00,0.43,-0.56,-16.00,0.99,0.00,-0.01,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.19,0.26,,1476,1436,1490,1506,1450,1490,1543,1476,endOfFrame
1488276730614,42.38HZ ,211.89HZ ,-1.00,-1.00,0.00,0.00,0.00,0.00,0.32,-0.34,-16.36,0.99,0.00,-0.00,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.17,0.07,,1497,1490,1490,1476,1481,1490,1490,1454,endOfFrame
1488276730891,42.48HZ ,212.42HZ ,-1.00,-1.00,0.00,0.00,0.00,0.00,0.92,-0.13,-16.74,0.99,0.01,-0.00,-0.14,0.00,0.00,0.00,0.00,0.00,0.00,-0.03,-0.05,0.05,,1476,1490,1490,1476,1481,1490,1490,1476,endOfFrame
1488276731182,42.11HZ ,210.57HZ ,-1.00,-1.00,0.00,0.00,-1.00,0.00,1.43,0.88,-16.84,0.99,0.01,0.00,-0.15,0.00,0.00,0.00,0.29,-0.96,0.03,-0.05,-0.08,0.36,,1499,1454,1490,1506,1481,1539,1490,1433,endOfFrame
1488276731525,41.64HZ ,208.21HZ ,0.00,3.00,0.00,0.00,-1.00,0.00,1.14,1.53,-17.03,0.99,0.01,0.01,-0.15,0.00,0.00,0.00,0.30,-0.95,0.03,-0.00,0.01,-0.18,,1451,1490,1519,1476,1504,1490,1460,1476,endOfFrame
