时间,外环频率,内环频率,遥控滚转,遥控俯仰,遥控偏航,遥控x,遥控y,遥控z,姿态x,姿态y,姿态z,q0,q1,q2,q3,外环输出x,外环输出y,外环输出z,力x,力y,力z,力矩x,力矩y,力矩z,--,电机1,电机2,电机3,电机4,电机5,电机6,电机7,电机8,
1.48829E+12,37.64HZ ,188.21HZ ,0,0,0,0,-1,0,-1.27,0.76,0.68,1,-0.01,0.01,0.02,0.02,-0.02,-0.03,-0.03,-1,-0.02,0.06,0.09,0.82,,1524,1403,1457,1547,1417,1560,1540,1418,endOfFrame
1.48829E+12,38.13HZ ,190.66HZ ,0,0,0,0,-1,0,0.42,-0.08,-7.25,1,0,0,-0.06,-0.01,0,0.13,0.13,-0.99,0.01,0.1,0,0.12,,1476,1453,1490,1476,1481,1490,1490,1476,endOfFrame
1.48829E+12,38.14HZ ,190.70HZ ,0,0,0,0,-1,0,-0.55,-0.28,-0.37,1,0,0,-0.04,-0.01,0.01,0.09,0.09,-1,0.01,-0.13,-0.17,-0.32,,1476,1513,1513,1445,1524,1490,1430,1476,endOfFrame
1.48829E+12,38.12HZ ,190.62HZ ,0,0,0,0,-1,0,0.61,-0.66,12.17,1,0,0,0.07,0.01,0,-0.07,-0.14,-0.99,-0.01,-0.13,0.08,-0.51,,1425,1519,1534,1452,1509,1490,1422,1521,endOfFrame
1.48829E+12,38.01HZ ,190.06HZ ,0,0,0,0,-1,0,0.84,-1.01,14.04,0.99,0.01,-0.01,0.14,-0.02,0.02,-0.27,-0.27,-0.96,0.02,0,-0.02,0.34,,1503,1445,1490,1499,1457,1533,1490,1449,endOfFrame
1.48829E+12,38.01HZ ,190.04HZ ,0,0,0,0,-1,0,0.74,-0.98,2.31,1,0.01,-0.01,0.05,-0.02,0.01,-0.09,-0.09,-1,0.02,0.03,0.08,0.48,,1500,1430,1490,1521,1442,1537,1511,1445,endOfFrame
1.48829E+12,37.83HZ ,189.14HZ ,0,-4,48,0,-1,0,1.07,0.52,-5.19,1,0.01,0,-0.04,0.02,-0.06,0.96,0.09,-1,0.01,-0.07,0.09,0.65,,1507,1428,1455,1541,1429,1560,1515,1432,endOfFrame
1.48829E+12,37.62HZ ,188.12HZ ,0,0,0,0,-1,0,0.16,1.52,4.87,1,0,0.01,0.03,-0.01,-0.02,-0.05,-0.05,-1,0.01,0.11,-0.18,-0.85,,1430,1527,1577,1396,1568,1439,1415,1513,endOfFrame
1.48829E+12,38.17HZ ,190.84HZ ,0,0,0,0,-1,0,0.01,2.7,22.58,0.98,-0.01,0.02,0.19,0.01,-0.05,-0.39,-0.38,-0.93,-0.02,0.1,0.07,-0.61,,1428,1490,1566,1433,1518,1452,1439,1527,endOfFrame
1.48829E+12,38.24HZ ,191.22HZ ,0,0,0,0,-1,0,0.44,2.92,17.57,0.98,-0.01,0.02,0.21,0.01,-0.04,-0.41,-0.4,-0.92,-0.02,-0.15,-0.09,0.47,,1517,1454,1457,1502,1448,1560,1490,1439,endOfFrame
